"adduct","log10freq","massdiff","nummol","charge"
"[M-2H]2-",-1.4029242963981,-2.014552,1,-2
"[M+Na-3H]2-",-4.24802233641235,19.96739,1,-2
"[M-H]-",-0.172110574929576,-1.007276,1,-1
"[M-H-H2O]-",-0.819887542383565,-19.01839,1,-1
"[M-H-NH3]-",-1.94699234074837,-18.03381516,1,-1
"[M-H+H2O]-",-2.13407898410552,17.003275,1,-1
"[Cat-2H]-",-2.77090108169269,-2.01506,1,-1
"[M+K-2H]-",-3.24802233641235,36.9486306,1,-1
"[M+Na-2H]-",-4.24802233641235,20.974666,1,-1
"[2M-H]-",-0.978509392194437,-1.007276,2,-1
"[3M-H]-",-1.99274983130905,-1.007276,3,-1
